net,length_um
_159_,267.91
_095_,260.75
_027_,241.29
decoder.digit\[3\],231.735
_161_,231.435
_127_,223.66
_075_,212.94
_085_,198
decoder.digit\[1\],197.58
decoder.digit\[2\],197.37
decoder.digit\[0\],195.895
_160_,194.91
one_second_counter\[17\],191.96
one_second_counter\[18\],189.49
one_second_counter\[1\],187.91
one_second_counter\[13\],179.565
one_second_counter\[0\],176.75
one_second_counter\[16\],172.36
net1,163.36
one_second_counter\[11\],156.32
_077_,154.32
one_second_counter\[10\],144.79
net5,142.52
one_second_counter\[25\],142.11
_155_,141.4
one_second_counter\[19\],140.24
_109_,140.22
_119_,135.35
one_second_counter\[12\],134.815
_006_,134.8
_114_,132.97
one_second_enable,132.145
_140_,132.11
one_second_counter\[2\],131.53
_136_,129.5
_111_,126.2
one_second_counter\[15\],122.53
_064_,119.97
_003_,119.02
_120_,118.61
_123_,117.08
_073_,114.74
one_second_counter\[8\],114.575
one_second_counter\[21\],113.43
one_second_counter\[22\],112.18
_133_,110.46
one_second_counter\[14\],109.88
clknet_2_1__leaf_clk,109.48
_065_,107.72
_137_,106.58
one_second_counter\[5\],106.12
_135_,105.93
clknet_2_0__leaf_clk,105.04
one_second_counter\[9\],104.93
_139_,103.655
_117_,103.01
_067_,101.04
_091_,97.64
_150_,97.63
one_second_counter\[26\],97.63
_129_,97.34
_143_,96.48
_044_,95.59
net2,94.94
one_second_counter\[4\],92.9
clknet_2_2__leaf_clk,92.21
_128_,91.82
_094_,91
_115_,90.15
net6,89.5
_078_,89.36
_037_,88.67
clknet_0_clk,88.49
_041_,88.13
_112_,88.12
_125_,87.92
_121_,87.53
_016_,87.32
_005_,87.18
_069_,86.96
_019_,86.82
_054_,86.56
_107_,85.6
_093_,82.98
one_second_counter\[7\],82.98
clknet_2_3__leaf_clk,82.94
_020_,82.56
_031_,82.3
_063_,79.46
net8,78.9
_047_,75.6
_066_,74.46
one_second_counter\[20\],74.26
_076_,73.78
net7,73.38
_002_,72.4
_103_,72.36
_102_,71.7
_141_,69.12
clk,68.19
net4,67.3
_000_,67.12
_026_,66.5
_068_,66.04
_104_,66
_156_,65.48
_086_,65.2
_145_,65.18
_134_,65.04
_052_,65
one_second_counter\[23\],64.28
_030_,64.06
_080_,63.46
_153_,63.46
_084_,63.2
_059_,63.15
one_second_counter\[6\],63.03
one_second_counter\[3\],62.63
_149_,62.52
_040_,62.34
_012_,61.8
_071_,61.08
_106_,60.36
_100_,59.78
_043_,59.67
_008_,58.7
_092_,58.52
_018_,58.38
_088_,58.02
_146_,57.28
_011_,57.2
_098_,56.86
_144_,56.44
_023_,55.49
one_second_counter\[24\],55.33
_089_,55.32
_001_,54.76
_113_,54.7
_007_,54.28
_138_,52.26
_025_,52.08
_060_,51.5
_142_,51.48
_045_,51.05
_009_,50.25
_028_,50.24
_058_,47.14
_013_,46.74
_122_,46.18
_148_,45.72
_014_,44.56
_152_,42.72
_083_,42.28
_042_,42.27
_029_,42.07
_010_,41.62
_046_,41.23
_157_,40.56
_051_,39.57
_110_,39.08
_057_,39.06
_108_,38.64
_015_,38.18
_050_,38.05
_049_,37.29
_082_,37.14
_097_,36.97
_147_,35.42
_096_,35.06
net18,34.18
_079_,34.02
_024_,33.32
_036_,33.07
_101_,32.64
_151_,32.62
_087_,32.3
_056_,32.08
_053_,31.9
_004_,31.84
_055_,31.51
_124_,30.42
net3,28.62
_038_,27.06
_032_,26.99
_022_,26.5
_070_,26.46
_048_,26.44
_130_,24.98
_158_,24.72
_132_,22.98
_118_,22.26
_154_,21.02
_061_,20.32
_039_,20.1
_116_,19.8
_126_,19.4
_034_,19.25
_072_,19.25
_035_,18.37
_017_,18.26
_099_,17.84
_081_,15.44
net17,15.26
_062_,15.2
_131_,15.18
_105_,13.74
_090_,12.88
_074_,12.62
_033_,11.8
rst,7.81
net13,5.77
net10,5.07
net9,5.07
seg[0],4.85
seg[1],4.85
seg[2],4.85
seg[3],4.85
seg[4],4.85
seg[5],4.85
seg[6],4.85
net16,4.73
net11,4.39
net12,4.39
net14,4.39
net15,4.39
_021_,3.3
